Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank,RFE_Rank_30
sum_weighted_score,0.3858873174388787,0.41061009112152147,0.28724741347465693,0.1819943294631421,0.0717201194354913,0.24831019884826327,1,1
inter_obsessive_correction,0.37021518686793664,0.38785309988354155,0.2682653682676931,0.20300458916342023,0.001294137250322068,0.0,23,13
Feat_Resilient_Explorer,0.3369934152570621,0.36325129416676355,0.2519331410465751,0.17521883601740385,0.0021237706949919473,1.1112881870334566e-07,56,46
Mutant_Omega_Curiosity,0.2990825134257652,0.31462134891563737,0.21743494536060026,0.09184639721929111,0.001992742176759313,4.860899642546449e-08,54,44
inter_exploratory_brilliance,0.29618066057642894,0.2872947767670771,0.20096332986874707,0.18126367665882226,0.0065760221952115335,0.013733524042268718,1,1
humility_challenging,0.2761438436879301,0.2668279743124644,0.20485492841678052,0.3341764809860748,0.0018665623219609848,0.009495271496662617,31,21
Psych_Calculated_Risk,0.2732904579898538,0.29007876024177043,0.2014331551229156,0.23562853359971792,0.015766052682212664,0.012540270303859917,6,1
ratio_redo_success,0.2385725740049209,0.23080277634100352,0.1628853818024928,0.11625806698150853,0.003279144980798622,0.04091499533993495,1,1
struggle_ratio,0.23618597672433372,0.2547359267986668,0.1993225110282051,0.05802869439257652,0.004363876924334772,7.094464501878638e-10,61,51
score_velocity,0.23016640457248647,0.297629857155063,0.2052764783588191,0.06919338477182313,0.014985185520405824,0.01853336824781715,1,1
inter_cowardice_penalty,0.21110807536378287,0.3098714046700144,0.212212541908986,0.16256457231771915,0.0020603723641107073,0.0,28,18
impulsive_help_ratio,0.2080688048496336,0.2118130206009995,0.154789540839128,0.11765283769510848,0.01611461971001167,0.0,15,5
Comp_GBA_DS_Anchored,0.197029954975244,0.21457978735357933,0.14713009855683962,0.0008391667172169548,0.009661948794552781,7.381371505246669e-08,53,43
ratio_score_per_hint,0.18910592939207996,0.2827865500801642,0.1938890449936931,0.13549388571962995,0.003955590246693404,0.015557437996979291,8,1
Comp_Awareness_Limit,0.18790913825677724,0.16953958957366022,0.11741439266150414,0.1342778972643739,0.015367896137402293,0.05732326948806827,19,9
Mutant_AoL_Resilience,0.18714271420494938,0.3716169009759304,0.2562843208221709,0.3531381130177236,0.005775896519481251,1.4329670069838636e-08,58,48
Feat_Strategic_Growth,0.18562718853813623,0.21999364655769704,0.152773828678754,0.11217594364420069,0.01195662598803017,0.01276595482016802,13,3
Comp_GBA_AoL_Anchored,0.1799435804103996,0.2930402338140432,0.19924954528095953,0.23167526836760155,0.006426329716538075,0.0,16,6
Feat_Ego_vs_Capacity,0.16593471579482857,0.2319064663958499,0.15999720164131256,0.12782940196683779,0.006985486680384007,0.019526874988486577,14,4
Comp_Joyous_Exploration,0.1610080163564404,0.19505351539138668,0.134258271130369,0.24699008498939667,0.015976541510243972,0.0028133817957384185,1,1
hard_challenge_efficiency,0.15263529972397563,0.130337268252015,0.09210096874435256,0.1843253028129057,0.024390149606476084,9.26292117792062e-09,59,49
Psych_Ego_Awareness,0.14953636450901261,0.2171381739328782,0.15942373215063838,0.04382370453250761,0.007672307776374573,0.027723089032752633,3,1
grind_capacity,0.14873443833132158,0.2192408228783662,0.1744635301705223,0.0519094619132181,0.004388423185134277,0.0266982289871148,24,14
hint_reliance_ratio,0.1383838576294154,0.19392819896624827,0.13466548100269443,0.11799539824096117,0.0011186047230662061,0.0,2,1
Mutant_Ego_Death,0.13233059159329597,0.12240774394364048,0.08397381521450657,0.07957238810465883,0.005054658123706725,6.026493391832108e-08,51,41
adaptive_learning_capacity,0.12860512278364492,0.2995977299459536,0.20776122405511377,0.16157106343381278,0.0061433695087079266,0.006655176002638893,39,29
PCA_Duration,0.12802614552247268,0.13418314745098545,0.09249591189045092,0.034744489713034454,0.011056537501994231,0.0,4,1
HighOrd_Score_x_PCADuration,0.12802404767857367,0.10277169889421535,0.07270428711130247,0.04076355579414237,0.001540359456469299,0.00162303783016333,47,37
carefulness_index,0.12636235211160646,0.12615365985885155,0.08723497938385666,0.0,0.0036082527880915215,0.008556544190588508,38,28
stubbornness_index,0.12171844205829918,0.2199342145401549,0.17448606636407668,0.11193745220326856,0.002125832839597119,0.0017526456308357252,46,36
PCA_Performance_Star,0.11588427552184423,0.11701270955805418,0.07973450774828288,0.0,0.009620034193270536,6.963516193026663e-09,55,45
HighOrd_Score_x_PCAStar,0.11113522192815678,0.09020093738555025,0.06161428202724274,0.08375269952035413,0.003477555977389134,3.162177659218371e-09,60,50
Feat_Cognitive_Waste,0.10631474553327365,0.09552316896399969,0.066348764792357,0.011127725777993813,0.00920050172438969,3.4562701269465325e-08,52,42
delayed_gratification_hint,0.10372575717159123,0.1292240283841918,0.099611997348461,0.0,0.002172362884116247,0.008320667686676187,41,31
