,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
20,Kendall_gt0.15,5,ElasticNet,0.6663,0.6188,0.4961,0.0196,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.4
21,Spearman_gt0.20,5,ElasticNet,0.6663,0.6188,0.4961,0.0196,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.3
22,Kendall_gt0.10,3,Ridge,0.6651,0.6189,0.496,0.0192,{'model__alpha': 100.0},"score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.2
23,Pearson_gt0.20,5,PLSRegression,0.6668,0.6189,0.4989,0.0192,{'model__n_components': 2},"score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.2
24,Spearman_gt0.15,2,SVR_RBF,0.6644,0.619,0.4956,0.0189,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","score_velocity, Feat_Ego_vs_Capacity",0.8
25,Pearson_gt0.20,5,SVR_RBF,0.6658,0.619,0.4978,0.0189,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.9
26,Spearman_gt0.15,2,KNN_Regressor,0.6834,0.6193,0.4964,0.0178,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","score_velocity, Feat_Ego_vs_Capacity",0.3
27,Kendall_gt0.15,5,Lasso,0.6672,0.6196,0.497,0.017,{'model__alpha': 0.01},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.3
28,Kendall_gt0.10,3,Lasso,0.6656,0.6196,0.497,0.017,{'model__alpha': 0.01},"score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.2
29,Spearman_gt0.20,5,Lasso,0.6672,0.6196,0.497,0.017,{'model__alpha': 0.01},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.2
30,Kendall_gt0.10,3,ElasticNet,0.6656,0.6197,0.4971,0.0166,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.3
31,Spearman_gt0.15,2,Ridge,0.6646,0.6198,0.4969,0.0163,{'model__alpha': 100.0},"score_velocity, Feat_Ego_vs_Capacity",0.2
32,Kendall_gt0.10,3,PLSRegression,0.6649,0.62,0.4973,0.0157,{'model__n_components': 2},"score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.2
33,Pearson_gt0.15,2,SVR_RBF,0.6652,0.6202,0.4972,0.0151,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","score_velocity, Feat_Strategic_Growth",0.7
34,Kendall_gt0.10,3,HuberRegressor,0.6655,0.6206,0.498,0.0138,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.3
35,Spearman_gt0.15,2,ElasticNet,0.6651,0.6207,0.4981,0.0134,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","score_velocity, Feat_Ego_vs_Capacity",0.2
36,Spearman_gt0.15,2,Lasso,0.6652,0.6208,0.4982,0.0131,{'model__alpha': 0.001},"score_velocity, Feat_Ego_vs_Capacity",0.2
37,Spearman_gt0.15,2,PLSRegression,0.6652,0.6209,0.4982,0.0129,{'model__n_components': 2},"score_velocity, Feat_Ego_vs_Capacity",0.2
38,Pearson_gt0.20,5,CatBoost,0.6743,0.6211,0.5027,0.0124,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",3.6
39,Pearson_gt0.20,5,Ridge,0.6667,0.6212,0.5002,0.0118,{'model__alpha': 100.0},"score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.2
40,Spearman_gt0.15,2,HuberRegressor,0.6648,0.6212,0.4987,0.0119,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","score_velocity, Feat_Ego_vs_Capacity",0.2
41,Pearson_gt0.20,5,Lasso,0.6658,0.6219,0.5001,0.0098,{'model__alpha': 0.01},"score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",5.3
42,Pearson_gt0.20,5,ElasticNet,0.6664,0.6221,0.5003,0.0092,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.3
43,RF_Importance_p80,16,ElasticNet,0.6665,0.6228,0.4981,0.007,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","score_velocity, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity",0.5
44,RF_Importance_p80,16,CatBoost,0.663,0.6228,0.5035,0.0067,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","score_velocity, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity",7.4
45,Pearson_gt0.15,2,SVR_Linear,0.6661,0.623,0.5009,0.0062,"{'model__epsilon': 0.5, 'model__C': 1.0}","score_velocity, Feat_Strategic_Growth",0.2
46,RF_Importance_med,40,CatBoost,0.6691,0.6233,0.5023,0.0054,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Ego_Death",14.4
