Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank
score_velocity,0.16466434079650552,0.15062281217307152,0.10594168040878804,0.0,0.015095348966120166,0.0,3
Feat_Strategic_Growth,0.15631353879082102,0.12500406509569995,0.08850393418473813,0.02499965501849921,0.001872365872067687,0.0,23
Psych_Calculated_Risk_Growth,0.13718899334489737,0.10370300730071608,0.074985908147273,0.003582933160874102,0.004046301128465598,2.9686855619037456e-07,54
exploration_efficiency,0.1358032224769816,0.10900162477808045,0.07797323854843961,0.04835481983479317,0.006171811914855108,1.0142087829875671e-07,53
inter_exploratory_brilliance,0.13070909432165326,0.1182933059035412,0.08371588945328012,0.007320352171903188,0.005300962923753385,0.053805104519292234,1
Feat_Resilient_Explorer,0.12434114786423404,0.11731713628848069,0.08163554357565687,0.011650322020669623,0.0019474933542040743,0.0,33
inter_obsessive_correction,0.11555189883692392,0.10649161201036915,0.07376600251430052,0.014741211484960992,0.02351063680432706,0.04697754092765839,15
Psych_Calculated_Risk,0.11446347100153036,0.11372304652886128,0.07958867132007433,0.07574108205617058,0.005002238950465037,0.007878841757137297,40
sum_weighted_score,0.11269714001990444,0.12944864721774152,0.09146757191226743,0.016048998081418908,0.007247573262835957,3.0448198207864327e-09,60
time_diff_phase3_vs_phase1,0.1086800386005306,0.12569548886308998,0.08605691339769725,0.0267595712400599,0.01697490220018746,0.0,20
struggle_ratio,0.10798650195188458,0.11439679297604932,0.09001795296115961,0.030838519351303884,0.003063906161345559,0.0,1
Comp_Awareness_Limit,0.10592749534861226,0.08822020221254506,0.061878822392305674,0.0,0.019845385879413056,0.0,42
Mutant_Omega_Curiosity,0.10565275899433624,0.08807393998681057,0.06122208444640302,0.0,0.011820148243325364,5.149290412799618e-08,58
Comp_Joyous_Exploration,0.10326543210882026,0.10439207361731179,0.07377742801642741,0.06387959572155255,0.006214062089943775,0.0,36
Feat_Ego_vs_Capacity,0.10120569677042815,0.1553965003505035,0.10859398089085562,0.01707785691638275,0.017427803289678787,0.0,13
Psych_Ego_Awareness,0.09445896981628729,0.09156289820507385,0.06748352213071995,0.006218924171391915,0.0018246987280648652,1.308065928214989e-08,59
hint_reliance_ratio,0.09082289448608218,0.12061254851909063,0.08362858795780295,0.036290935946889924,0.007515973655994283,0.0,27
ratio_score_per_hint,0.09034271773501518,0.13894524396639574,0.09639081729157387,0.03366926597386488,0.011858150757220883,0.0,30
Psych_Flow_Stamina,0.08571835380378309,0.11662638947786633,0.07952337997233405,0.01972162903487895,0.012922742431238254,0.025937873764453223,46
humility_challenging,0.08449858845839223,0.060318151712456775,0.046882133065087365,0.0,0.02093788390390493,0.0,1
ratio_success_per_duration,0.07980797039314307,0.070271838983683,0.049015674251632564,0.04337256839277881,0.021686141728237004,7.75657937477992e-08,56
PCA_Dur_x_PCA_Hints,0.07967068457665796,0.05357693936942637,0.037255889131760825,0.01555980285648495,0.011248493438376063,0.025771530796903436,19
stagnation_ratio,0.07898278833435142,0.08147948634815996,0.05949480282413396,0.007613677192154,0.006182778140681386,0.020266318710247574,24
inter_cowardice_penalty,0.07847158379220363,0.10987454518785593,0.07608723320659073,0.0487447731796653,0.001406959874531177,0.0,1
star_efficiency,0.07729058853059131,0.07432970358181445,0.05804598667336897,0.0,0.006318483647881889,5.11288766722915e-08,57
boldness_score,0.0751883006895259,0.08994694841822921,0.06438986548337358,0.0,0.0029834825367080287,0.004310948093498343,39
ratio_hint_per_star,0.07487504768632716,0.05465003859792132,0.038825293736211706,0.0,0.019061647471141138,0.01074134886566913,1
time_diff_end_vs_start,0.07451341007037808,0.0969812843329902,0.06871030864339638,0.01307111462785393,0.0037325600404590304,0.01937359009632539,26
inter_strategic_retreat,0.07066773869636002,0.06873666257910079,0.0528933141075846,0.0,0.007481230659375403,0.0,31
impulsive_help_ratio,0.06983167294112046,0.07176374124158194,0.052374663714135704,0.001443441228161202,0.0016130875028604185,0.00125729684675201,45
inter_hint_x_skip,0.06981418163399666,0.03178801920923609,0.025965502242595622,0.0,0.015742459972639275,3.776540286822908e-09,50
PCA_Performance_Star,0.06753741257419592,0.04341870437622304,0.030031550059355934,0.0,0.0030474210604667412,5.797833423518247e-10,61
Psych_Adaptability,0.06620160896299555,0.06595323400484827,0.05016101139753243,0.0,0.013257168078069764,1.9876013796218805e-08,52
PCA_Duration,0.06598040011982334,0.05126393193454878,0.0355555242662709,0.02937475901940889,0.002081615108179453,0.018193564382741143,25
reckless_action_index,0.06032668447702861,0.06209065648452581,0.046368232514312685,0.0,0.040124975994582555,0.0,41
HighOrd_Score_x_PCAStar,0.05706061106874031,0.060939671946335615,0.043750845798696786,0.0,0.03552957010749691,0.05247214930100313,1
Psych_Adaptability_Log,0.05582075572427753,0.06580667998382293,0.05012342572014185,0.0,0.029267823392450598,0.00686135448884211,38
stubbornness_index,0.055500246037518096,0.08852748586604801,0.07100340869086046,0.0,0.020601224505438342,0.0,1
ratio_struggle_time,0.05399069947113561,0.035169178407160905,0.025550060369381608,0.0,0.023061547323270707,0.06994647250065907,1
Psych_Deprivation_Fixation,0.05346092097926874,0.057957830341034675,0.04314498128808127,0.0,0.005669107251314246,0.0,1
HighOrd_Score_x_PCADuration,0.05042945253619893,0.053924297213634786,0.03847299240390097,0.0,0.0033371904192807146,0.032632509680052435,34
Mutant_AoL_Resilience,0.04693436123390569,0.08733471758965408,0.061784095551056954,0.023171012359708865,0.01148984644794408,0.0,1
PCA_Dur_squared,0.04603795417391604,0.013587082750496702,0.009709978310824043,0.02059326973476061,0.02217266408120468,0.0,1
delayed_gratification_hint,0.04588659729898969,0.03829063332586126,0.029778144398680047,0.03706970059082648,0.02233615917097699,0.01949704278056916,44
