,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
11,RF_Importance_p80,16,SVR_RBF,0.6099,0.6433,0.5116,0.1067,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, score_velocity, hint_reading_duration, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",2.1
12,MutualInfo_p90,8,CatBoost,0.6016,0.6435,0.5164,0.1063,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",3.7
13,Kendall_gt0.15,21,SVR_RBF,0.6093,0.644,0.5115,0.1051,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.6
14,Pearson_gt0.30,6,SVR_RBF,0.6043,0.6442,0.5157,0.1045,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",1.0
15,MutualInfo_p80,16,SVR_RBF,0.6081,0.6451,0.5151,0.1018,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.3
16,Spearman_gt0.20,24,SVR_RBF,0.6127,0.6451,0.5114,0.102,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",2.4
17,RF_Importance_p90,8,SVR_RBF,0.6074,0.6454,0.515,0.1011,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, hint_reading_duration, time_diff_end_vs_start, time_diff_max_vs_avg, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",1.2
18,Pearson_gt0.30,6,RandomForest,0.604,0.6454,0.5175,0.1009,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",4.9
19,Spearman_gt0.20,24,RandomForest,0.6043,0.6457,0.5188,0.1001,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",6.4
20,RFE_Ridge_Top20,20,RandomForest,0.6062,0.6459,0.5213,0.0995,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, struggle_ratio, hard_challenge_efficiency, impulsive_help_ratio, carefulness_index, star_efficiency, ratio_hint_time, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",4.7
