,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
121,MutualInfo_p70,24,SVR_Linear,0.7752,0.7914,0.6405,-0.0636,"{'model__epsilon': 0.5, 'model__C': 1.0}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, hyper_curiosity_index, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_phase3_vs_phase1, ratio_success_per_duration, ratio_redo_success, PCA_Duration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",0.9
122,MutualInfo_p80,16,XGBoost,0.7695,0.7937,0.639,-0.0697,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",4.9
123,RFE_Ridge_Top20,20,PLSRegression,0.7569,0.7937,0.6441,-0.0697,{'model__n_components': 10},"sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.3
124,MutualInfo_p70,24,MLP_Regressor,0.8005,0.7958,0.6503,-0.0752,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, hyper_curiosity_index, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_phase3_vs_phase1, ratio_success_per_duration, ratio_redo_success, PCA_Duration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",12.6
125,RF_Importance_med,40,XGBoost,0.7799,0.7985,0.6432,-0.0825,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","score_velocity, stagnation_ratio, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, reckless_action_index, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",22.3
126,RF_Importance_p80,16,MLP_Regressor,0.7761,0.7987,0.6472,-0.0833,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored",11.3
127,Pearson_gt0.20,5,RandomForest,0.756,0.7994,0.6455,-0.085,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",4.6
128,Pearson_gt0.15,5,RandomForest,0.756,0.7994,0.6455,-0.085,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",4.2
129,MutualInfo_p80,16,KNN_Regressor,0.7753,0.8017,0.6526,-0.0914,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",0.5
130,Lasso_NonZero,31,KNN_Regressor,0.7654,0.8045,0.6451,-0.099,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",0.7
