,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
134,Lasso_NonZero,33,SVR_Linear,0.8539,0.9338,0.7828,-0.0983,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, impulsive_help_ratio, delayed_gratification_hint, tuas_dominance, star_efficiency, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Adaptability_Log, ratio_struggle_time, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.1
135,RFE_Ridge_Top20,20,KNN_Regressor,0.8498,0.9361,0.7745,-0.1037,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",0.5
136,Pearson_gt0.15,11,MLP_Regressor,0.843,0.9412,0.7993,-0.1158,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, impulsive_help_ratio, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Omega_Curiosity",19.1
137,MutualInfo_p70,24,KNN_Regressor,0.8533,0.9547,0.7891,-0.1482,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_end_vs_start, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.6
138,MutualInfo_p70,24,XGBoost,0.8608,0.959,0.8057,-0.1585,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_end_vs_start, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",8.5
139,RFE_Ridge_Top20,20,MLP_Regressor,0.8785,0.9665,0.8014,-0.1766,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",13.1
140,RF_Importance_p80,16,MLP_Regressor,0.856,0.9691,0.8061,-0.1831,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",12.8
141,MutualInfo_p80,16,MLP_Regressor,0.846,0.9765,0.82,-0.2011,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",12.6
142,MutualInfo_p70,24,MLP_Regressor,0.8847,1.0227,0.8552,-0.3175,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_end_vs_start, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",13.9
143,RF_Importance_med,40,MLP_Regressor,0.9474,1.1158,0.8942,-0.5681,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, struggle_ratio, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",15.9
144,Lasso_NonZero,33,MLP_Regressor,0.9364,1.1477,0.9308,-0.6593,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, impulsive_help_ratio, delayed_gratification_hint, tuas_dominance, star_efficiency, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Adaptability_Log, ratio_struggle_time, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",15.1
