,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
146,Pearson_gt0.30,5,CatBoost,0.5275,0.5157,0.4153,-0.0053,0.0977,0.20243939619665877,n.s.,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",3.2
147,RFE_Ridge_Top30,30,XGBoost,0.5405,0.527,0.422,-0.0498,0.0968,0.2064665275193967,n.s.,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",11.3
148,Pearson_gt0.20,5,Ridge,0.5247,0.5149,0.4139,-0.0022,0.0964,0.2085912005798726,n.s.,{'model__alpha': 500.0},"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.2
149,Pearson_gt0.30,5,Ridge,0.5247,0.5149,0.4139,-0.0022,0.0964,0.2085912005798726,n.s.,{'model__alpha': 500.0},"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.2
150,RFE_Ridge_Top20,20,XGBoost,0.5439,0.5259,0.4231,-0.0454,0.0961,0.20965647289483635,n.s.,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",7.1
151,RF_Importance_p80,16,MLP_Regressor,0.5576,0.5565,0.4405,-0.1705,0.0952,0.21424450129196657,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","score_velocity, engagement_persistence, carefulness_index, contemplation_index, hyper_curiosity_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, ratio_struggle_time, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_Ego_Death",9.8
152,RF_Importance_p90,8,ElasticNet,0.5261,0.517,0.416,-0.01,0.0949,0.21568724884947768,n.s.,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",0.3
153,RF_Importance_p90,8,Lasso,0.526,0.5166,0.4156,-0.0087,0.0941,0.2194986061396494,n.s.,{'model__alpha': 0.01},"score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",0.2
154,Pearson_gt0.20,5,Lasso,0.5253,0.5167,0.4152,-0.009,0.0937,0.22163916754724286,n.s.,{'model__alpha': 0.01},"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.2
155,Pearson_gt0.30,5,Lasso,0.5253,0.5167,0.4152,-0.009,0.0937,0.22163916754724286,n.s.,{'model__alpha': 0.01},"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.2
156,Lasso_NonZero,28,Lasso,0.5275,0.5198,0.4165,-0.0213,0.093,0.2249196585744187,n.s.,{'model__alpha': 0.01},"struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
157,RFE_Ridge_Top20,20,SVR_RBF,0.5279,0.5155,0.4142,-0.0044,0.0928,0.2261878782137651,n.s.,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",1.4
158,Pearson_gt0.20,5,SVR_RBF,0.5256,0.5175,0.4169,-0.0121,0.0918,0.2308457877125087,n.s.,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",1.0
159,Pearson_gt0.30,5,SVR_RBF,0.5256,0.5175,0.4169,-0.0121,0.0918,0.2308457877125087,n.s.,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.8
160,Pearson_gt0.15,10,RandomForest,0.5309,0.5185,0.4188,-0.0163,0.0918,0.23085058981442375,n.s.,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",4.1
161,RF_Importance_p80,16,PLSRegression,0.5324,0.5201,0.4186,-0.0222,0.0907,0.23668954485786878,n.s.,{'model__n_components': 3},"score_velocity, engagement_persistence, carefulness_index, contemplation_index, hyper_curiosity_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, ratio_struggle_time, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_Ego_Death",0.2
162,RF_Importance_p80,16,ElasticNet,0.5281,0.5146,0.4146,-0.0008,0.0902,0.23947887663569517,n.s.,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","score_velocity, engagement_persistence, carefulness_index, contemplation_index, hyper_curiosity_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, ratio_struggle_time, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_Ego_Death",0.4
163,RFE_Ridge_Top30,30,Ridge,0.5265,0.5217,0.4188,-0.0288,0.0898,0.24159659952364632,n.s.,{'model__alpha': 10.0},"sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.3
164,RF_Importance_p90,8,PLSRegression,0.527,0.5187,0.4172,-0.0167,0.0896,0.24248747230520157,n.s.,{'model__n_components': 3},"score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",0.2
