,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
175,RF_Importance_p90,8,MLP_Regressor,0.5311,0.5318,0.4302,-0.0687,0.0795,0.30016689053216417,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",8.6
176,RFE_Ridge_Top20,20,RandomForest,0.5303,0.5198,0.4195,-0.0213,0.0775,0.312257327354024,n.s.,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",4.6
177,RFE_Ridge_Top30,30,ElasticNet,0.5264,0.5227,0.4199,-0.0325,0.0769,0.3157415663266698,n.s.,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.5
178,MutualInfo_p70,24,Ridge,0.5293,0.5172,0.4182,-0.0109,0.0749,0.32873387023515804,n.s.,{'model__alpha': 500.0},"humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, contemplation_index, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_end_vs_start, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Ego_Death",0.3
179,RF_Importance_med,40,PLSRegression,0.534,0.5212,0.4168,-0.0266,0.0747,0.3301822921412229,n.s.,{'model__n_components': 2},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, engagement_persistence, carefulness_index, contemplation_index, keypad_dominance, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.4
180,MutualInfo_p90,8,CatBoost,0.5266,0.5196,0.4244,-0.0203,0.0729,0.34218479796790663,n.s.,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 6}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",2.4
181,MutualInfo_p90,8,XGBoost,0.5369,0.5265,0.4307,-0.0477,0.0727,0.34310145653260443,n.s.,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",2.1
182,MutualInfo_p70,24,SVR_RBF,0.5309,0.5168,0.4209,-0.0095,0.0682,0.37419229568345913,n.s.,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, contemplation_index, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_end_vs_start, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Ego_Death",1.6
183,RFE_Ridge_Top20,20,Ridge,0.5241,0.5239,0.42,-0.0372,0.0671,0.3818972739351282,n.s.,{'model__alpha': 10.0},"struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",0.3
184,RFE_Ridge_Top20,20,ElasticNet,0.5248,0.5237,0.4199,-0.0366,0.0636,0.4071858969418888,n.s.,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",0.4
185,RFE_Ridge_Top30,30,HuberRegressor,0.5344,0.5303,0.4266,-0.063,0.0623,0.4165703604752347,n.s.,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",1.2
186,RF_Importance_med,40,MLP_Regressor,0.6066,0.6923,0.5022,-0.8117,0.0615,0.4228870938093094,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, engagement_persistence, carefulness_index, contemplation_index, keypad_dominance, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",12.0
187,RFE_Ridge_Top30,30,Lasso,0.5272,0.5278,0.4245,-0.0529,0.0614,0.42341620065058283,n.s.,{'model__alpha': 0.001},"sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.4
188,Lasso_NonZero,28,Ridge,0.5268,0.5318,0.4234,-0.0688,0.0595,0.43797812341855175,n.s.,{'model__alpha': 100.0},"struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
189,MutualInfo_p80,16,KNN_Regressor,0.5374,0.5277,0.4248,-0.0525,0.0592,0.44008281782603725,n.s.,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth",0.4
190,RFE_Ridge_Top20,20,PLSRegression,0.5275,0.5284,0.4216,-0.0553,0.0588,0.4434834638602737,n.s.,{'model__n_components': 5},"struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",0.3
191,RF_Importance_p80,16,SVR_Linear,0.532,0.5277,0.4234,-0.0524,0.0533,0.4873340976848976,n.s.,"{'model__epsilon': 0.5, 'model__C': 1.0}","score_velocity, engagement_persistence, carefulness_index, contemplation_index, hyper_curiosity_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, ratio_struggle_time, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_Ego_Death",0.6
192,MutualInfo_p80,16,HuberRegressor,0.531,0.5277,0.425,-0.0524,0.0518,0.49970980855996405,n.s.,"{'model__epsilon': 1.5, 'model__alpha': 0.0001}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth",0.8
193,RFE_Ridge_Top20,20,Lasso,0.5253,0.5285,0.4234,-0.0555,0.0484,0.528760931210102,n.s.,{'model__alpha': 0.001},"struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",0.3
194,MutualInfo_p90,8,SVR_RBF,0.5297,0.5315,0.432,-0.0678,0.0469,0.5410387764452784,n.s.,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 10.0}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",0.8
195,Pearson_gt0.20,5,KNN_Regressor,0.5374,0.5357,0.4323,-0.0848,0.0422,0.5827687020820939,n.s.,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.4
196,Pearson_gt0.30,5,KNN_Regressor,0.5374,0.5357,0.4323,-0.0848,0.0422,0.5827687020820939,n.s.,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",0.2
197,Lasso_NonZero,28,ElasticNet,0.5273,0.5504,0.4259,-0.1451,0.0418,0.5858099714383653,n.s.,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.6
198,MutualInfo_p90,8,KNN_Regressor,0.5455,0.5318,0.432,-0.0691,0.0409,0.5939531362399214,n.s.,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",0.3
199,RF_Importance_med,40,SVR_Linear,0.5575,0.5526,0.4426,-0.154,0.0392,0.609673588947304,n.s.,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, engagement_persistence, carefulness_index, contemplation_index, keypad_dominance, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",1.1
200,Pearson_gt0.20,5,MLP_Regressor,0.5348,0.5297,0.4201,-0.0604,0.0341,0.6566887862789423,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",8.3
201,Pearson_gt0.30,5,MLP_Regressor,0.5348,0.5297,0.4201,-0.0604,0.0341,0.6566887862789423,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer",7.0
202,Lasso_NonZero,28,PLSRegression,0.5285,0.5554,0.4329,-0.1658,0.0334,0.6639237650382325,n.s.,{'model__n_components': 5},"struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
203,RF_Importance_med,40,HuberRegressor,0.5449,0.5475,0.4396,-0.1329,0.0321,0.676392224846282,n.s.,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, engagement_persistence, carefulness_index, contemplation_index, keypad_dominance, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",2.1
204,MutualInfo_p80,16,SVR_Linear,0.5349,0.55,0.4347,-0.1434,0.0272,0.7228504826484005,n.s.,"{'model__epsilon': 0.5, 'model__C': 1.0}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth",0.6
205,RFE_Ridge_Top20,20,HuberRegressor,0.5262,0.5341,0.431,-0.0781,0.0235,0.7601021495026729,n.s.,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",0.7
206,MutualInfo_p70,24,KNN_Regressor,0.5351,0.5356,0.4283,-0.0844,0.0196,0.7985545332442245,n.s.,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, contemplation_index, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_end_vs_start, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Ego_Death",0.8
207,RFE_Ridge_Top20,20,MLP_Regressor,0.5581,0.5565,0.4431,-0.1706,0.0121,0.875064931640988,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","struggle_ratio, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, PCA_Performance_Star, inter_exploratory_brilliance, Feat_Cognitive_Waste, Mutant_Omega_Curiosity",10.3
208,MutualInfo_p90,8,MLP_Regressor,0.5328,0.5408,0.4422,-0.1056,0.0063,0.934953728065924,n.s.,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",7.7
209,Lasso_NonZero,28,MLP_Regressor,0.6075,0.6141,0.4883,-0.4254,0.0047,0.9508861958131319,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",13.1
210,MutualInfo_p80,16,MLP_Regressor,0.5421,0.5557,0.4534,-0.1669,0.0022,0.9769002508377412,n.s.,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth",9.7
211,RFE_Ridge_Top30,30,MLP_Regressor,0.5651,0.5743,0.453,-0.2464,-0.0079,0.9178986152186892,n.s.,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, humility_challenging, struggle_ratio, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Ego_Awareness, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, PCA_Performance_Star, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_Omega_Curiosity",11.7
212,MutualInfo_p80,16,SVR_RBF,0.5291,0.5217,0.4234,-0.0287,-0.0121,0.8744861163292897,n.s.,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth",1.1
213,Pearson_gt0.15,10,MLP_Regressor,0.5366,0.5371,0.4319,-0.0903,-0.0174,0.8211299966979185,n.s.,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",7.8
214,Lasso_NonZero,28,SVR_Linear,0.5346,1.1858,0.5132,-4.3147,-0.0174,0.820879365439223,n.s.,"{'model__epsilon': 0.5, 'model__C': 1.0}","struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.7
215,Lasso_NonZero,28,HuberRegressor,0.5297,0.9102,0.4808,-2.1309,-0.0186,0.8089090320689418,n.s.,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.8
