,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
88,Kendall_gt0.15,3,ElasticNet,0.5946,0.5721,0.4416,0.0506,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.3
89,MutualInfo_p80,7,SVR_Linear,0.6041,0.5723,0.4375,0.0498,"{'model__epsilon': 0.1, 'model__C': 10.0}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.3
90,RF_Importance_p80,7,SVR_RBF,0.5954,0.5724,0.4408,0.0493,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",1.1
91,Lasso_NonZero,14,SVR_RBF,0.5971,0.5726,0.4417,0.0487,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",1.4
92,Kendall_gt0.15,3,HuberRegressor,0.5954,0.5728,0.4418,0.0481,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.3
93,MutualInfo_p70,10,SVR_Linear,0.6024,0.5729,0.4387,0.0479,"{'model__epsilon': 0.01, 'model__C': 10.0}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.4
94,MutualInfo_p80,7,SVR_RBF,0.6053,0.573,0.4374,0.0475,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",1.0
95,MutualInfo_p70,10,SVR_RBF,0.6003,0.573,0.4397,0.0474,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",1.2
96,Kendall_gt0.15,3,Ridge,0.5949,0.5731,0.4429,0.047,{'model__alpha': 10.0},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.2
97,MutualInfo_p70,10,MLP_Regressor,0.6061,0.5732,0.444,0.0469,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",10.5
98,RF_Importance_p80,7,Ridge,0.5969,0.5734,0.4425,0.0462,{'model__alpha': 10.0},"sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",0.2
99,Kendall_gt0.15,3,CatBoost,0.5962,0.5734,0.444,0.0461,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",4.5
100,Kendall_gt0.15,3,PLSRegression,0.5948,0.5735,0.4434,0.0456,{'model__n_components': 2},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.2
101,Kendall_gt0.15,3,SVR_Linear,0.5965,0.5739,0.443,0.0444,"{'model__epsilon': 0.1, 'model__C': 10.0}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.4
102,RF_Importance_med,16,PLSRegression,0.598,0.5745,0.4467,0.0425,{'model__n_components': 5},"redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.2
103,Kendall_gt0.10,5,RandomForest,0.6065,0.5747,0.4531,0.0418,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",4.6
104,Spearman_gt0.15,5,RandomForest,0.6065,0.5747,0.4531,0.0418,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",6.4
105,Spearman_gt0.20,2,KNN_Regressor,0.6131,0.5768,0.4488,0.0347,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score",0.4
106,Lasso_NonZero,14,RandomForest,0.5976,0.577,0.449,0.0341,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",7.3
