Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank,RFE_Rank_30
sum_weighted_score,0.343328289702154,0.3599967929688506,0.2519282521577782,0.09138933423904838,0.037857147273495935,0.0,1,1
Mutant_Omega_Curiosity,0.33557200219477745,0.31469084255138896,0.21780126365356062,0.050075176032273294,0.0011525012508763939,0.0,6,1
inter_obsessive_correction,0.3123796812212542,0.33147581831241557,0.23037723363113008,0.07379293786006169,0.0026115458897426327,7.423328170150394e-08,57,47
Feat_Resilient_Explorer,0.3078869011645483,0.31222775982406853,0.21845845994093147,0.06724546850417568,0.006649096948566106,3.853172812232546e-07,50,40
Psych_Calculated_Risk,0.30228667592036523,0.3082946260108365,0.2156397783705875,0.07626691608127878,0.013622576073313688,0.16450603865487357,1,1
inter_exploratory_brilliance,0.30207233322976396,0.29288305311980345,0.20833327819412123,0.11465896314294266,0.002015737585307651,0.0016265983035014843,37,27
Comp_Joyous_Exploration,0.25325060254089293,0.2675193079203005,0.1862332499349291,0.06996681052046982,0.015406314847624641,0.0,3,1
struggle_ratio,0.23343417678037212,0.22586730507926028,0.1772872767546817,0.03318613912610768,0.005611469972239857,0.0,11,1
Feat_Strategic_Growth,0.23179205652855456,0.25479460484580657,0.18130380450657463,0.04585995731566683,0.00922988220918571,1.245396088000497e-09,61,51
score_velocity,0.2055606065031341,0.2490704886081648,0.1744556281118133,0.0037255135664340244,0.013950522789787647,0.0,4,1
ratio_redo_success,0.1937280578618184,0.18336594786788427,0.12933314505658008,0.03751508355148303,0.001370724185188911,0.0,1,1
boldness_score,0.18430359691577283,0.20533587968036113,0.14692985724772173,0.08061001879548213,0.01837333673964168,0.15439126511515297,1,1
inter_cowardice_penalty,0.1742637200261885,0.24795030996517925,0.1739509333423994,0.008949618724043873,0.0076784672846302365,7.102490693008801e-08,56,46
humility_challenging,0.17061556128861718,0.14520070940031268,0.1114050414487433,0.10557824741938315,0.009213638836085749,0.0,19,9
hint_reliance_ratio,0.17011284040318309,0.1529246248104594,0.1088123605143364,0.021802884203575346,0.01475500781175946,0.08707664541112442,2,1
Feat_Ego_vs_Capacity,0.1693446861926707,0.2798135675427345,0.19660593644871532,0.058523408752857886,0.0014882612409372322,2.9903425543949887e-09,60,50
carefulness_index,0.167322178485951,0.1605794656400769,0.11016338138786619,0.007790114744705701,0.009551253439417278,0.03027290051505887,1,1
adaptive_learning_capacity,0.16177788732866033,0.29017847966997057,0.1992791135582611,0.02593934653707919,0.0074215417528413746,0.0,40,30
Comp_Awareness_Limit,0.15726878479357254,0.1334459891858441,0.09360934297866136,0.0,0.007954044156491077,0.10076833107441203,36,26
Mutant_AoL_Resilience,0.15596586918429398,0.3057338127108007,0.21023795049955277,0.06363489317663706,0.02384744832556382,0.03763519145000685,8,1
Comp_GBA_DS_Anchored,0.15532829468410136,0.14645183725892136,0.09882823170436737,0.0,0.021882227385922937,6.650780077262485e-08,55,45
ratio_score_per_hint,0.15498200494387246,0.2353274417267096,0.16475048304520395,0.0484908292701145,0.0062820952352774725,0.0,35,25
HighOrd_Score_x_PCADuration,0.14935990279398098,0.11509208257572981,0.08167767281669348,0.1004232511619989,0.006445477808559004,0.028177058445378822,31,21
impulsive_help_ratio,0.1365921631691449,0.11008174513874383,0.0790319754737723,0.015270689636737611,0.0011629396097807066,0.0,1,1
inter_ambition_vs_reality,0.13603264564074652,0.1392342636313389,0.10056387688450845,0.017934163947009196,0.005475349192875593,2.649774117954197e-07,52,42
delayed_gratification_hint,0.1357985505751616,0.13619197558937005,0.10518841489622775,0.032620785988954015,0.0028921384831497253,0.0029743849245278692,47,37
Psych_Calculated_Risk_Growth,0.13502056810599752,0.1626755801020908,0.11804430250681047,0.1344395415632893,0.012647652323994875,0.12348847684335897,1,1
Psych_Flow_Stamina,0.129500433218953,0.13488950716749784,0.09278675108155282,0.0,0.0040893153214798085,0.02402119932762363,39,29
Psych_Ego_Awareness,0.12212964391420589,0.15587943854407046,0.11289981099116578,0.0207267608473809,0.005793919433394229,0.0,24,14
PCA_Duration,0.1218809862815442,0.1334902141849576,0.09149377047590412,0.04114875902166215,0.001186565805789288,0.0009010510108514267,46,36
hint_reading_duration,0.12100076718661923,0.12877013164207782,0.08939745064984336,0.0,0.010124479622830989,3.2029357963964284e-08,54,44
PCA_Hints,0.12056916291493368,0.13555181552994328,0.09431746375464378,0.010235900967721978,0.001032208796362138,1.0224239556222721e-08,58,48
time_diff_phase3_vs_phase1,0.11695817136748222,0.12166829912614635,0.08338898877183744,0.016055557220747918,0.018853884788699756,1.028751531471944e-07,53,43
grind_capacity,0.11603353313947268,0.18679698880532075,0.14858021061945306,0.018114253188851848,0.0023510503345332604,0.02206096174431231,38,28
ratio_hint_time,0.10907401595972673,0.11381148771940393,0.07927520448298608,0.028827474935966713,0.027508340430116154,0.018019007240886457,23,13
ratio_success_per_duration,0.09903892617891649,0.10772340218163752,0.07428105243530787,0.015254397751461202,0.01832795468779418,0.0,43,33
calculated_risk_taking,0.09886510559816444,0.13341404426486056,0.10765140042668768,0.010637711482286871,0.03230498120136871,0.055079537562416576,5,1
learning_adaptability,0.09336436349238549,0.08998554993278601,0.06290762299220194,0.0,0.01615415937673921,0.0,1,1
exploration_efficiency,0.09207507721167155,0.1262245412577575,0.08858228990857385,0.04749730534580987,0.021961122173608356,0.012088997622322146,41,31
HighOrd_Score_x_PCAStar,0.08656140860016184,0.05416048942089072,0.039543489427049126,0.05478379771376396,0.005523019946981487,0.0,1,1
Comp_GBA_AoL_Anchored,0.08293054216819248,0.14931268558962327,0.10033627175104867,0.03117926158154649,0.0013523019214981586,0.01933919839229801,42,32
hint_dependency_gravity,0.07309067852846274,0.16546439106499614,0.13070392952582416,0.0,0.010971010826672447,0.0,13,3
Psych_Independent_Efficiency,0.07228755540731906,0.08653674013253958,0.060474290387003846,0.03920467147230644,0.012259837339662785,0.0,1,1
Feat_Cognitive_Waste,0.0710562904363549,0.09152665332067116,0.06420476973763836,0.04524214610411503,0.025269835516002266,0.059185804167052714,30,20
inter_strategic_retreat,0.06767391743465404,0.06790971998108357,0.05123521169250515,0.03876173197114419,0.019073241881146587,0.019910173308195906,32,22
stubbornness_index,0.06739464741863939,0.19379795714755782,0.1532522766762334,0.027770753521778158,0.0076621965599868724,0.0,10,1
frustration_breakdown_ratio,0.06533131608092546,0.05899063969729419,0.048480830019252553,0.04869902277923477,0.010415173421267451,0.0,27,17
stubborn_failure_magnitude,0.06302716032706028,0.1386770021237379,0.10987053818833095,0.048490023504816016,0.010422278286767912,0.0,15,5
reckless_action_index,0.062034296900487916,0.044140487551133645,0.03237786535610566,0.02006415464111555,0.019294032158947903,0.0008247150997146937,22,12
time_diff_end_vs_start,0.05974090990456556,0.053610311061237224,0.038432493085708896,0.0,0.006388021406174173,0.0,44,34
hint_effectiveness,0.05640734136998375,0.028384255801931116,0.01912977359553353,0.010058838735248266,0.008544727751471906,0.025112655875459612,33,23
PCA_Performance_Star,0.054476614896340196,0.05764302606985746,0.040108920232707804,0.002950175693838819,0.0075784633198451145,0.0007967290204468946,14,4
stagnation_ratio,0.052829116763506906,0.1513282666840728,0.11057634936286036,0.0,0.0012525317372071112,0.0,1,1
Mutant_Ego_Death,0.05276222643055654,0.07439608126043441,0.050518199567943005,0.061159786772568836,0.0013410593179373478,0.0,29,19
Psych_Deprivation_Fixation,0.05264518809134983,0.024729344337236954,0.01830059732451904,0.0,0.005707444920134876,2.755608108387732e-07,51,41
apathy_speed,0.051974006059084824,0.01020322759794083,0.007287714254304856,0.03702688681240529,0.0047000614082750025,2.0059944581827973e-06,49,39
hard_challenge_efficiency,0.04728469783648964,0.014559273750987459,0.01089988403898561,0.06549723794143425,0.00534865333756407,4.4176929227374526e-07,48,38
ratio_hint_per_star,0.0410280522984198,0.07693417384867213,0.05501297830767652,0.0,0.0035260517174371692,0.008667580016656382,1,1
contemplation_index,0.03768295786399472,0.026965642497492955,0.018809990605629965,0.029493386702177826,0.0018789209993745907,0.0,18,8
inter_sweet_victory,0.032492070347917415,0.04588178129969586,0.031094085107991075,0.012705889787933966,0.022007720576775344,0.015853612542624254,1,1
starlv_x_redo,0.02897905989814359,0.06853257895720288,0.04814000262526869,0.011434826211422777,0.0041610508526286755,0.08130827140058623,1,1
PCA_Dur_squared,0.028665295655155517,0.0404995084549502,0.027064634854293113,0.0,0.013846926627882799,2.0894622489764834e-08,59,49
Psych_Perfectionist_Drive,0.026843355755888913,0.07683903296732089,0.052720950001330084,0.04122727319689545,0.004317399589616663,0.0,34,24
time_diff_max_vs_avg,0.025251083650669786,0.0455831641551938,0.031134352231700625,0.04734753381453283,0.008533846881966928,0.0,1,1
HighOrd_Star_x_Effort,0.02513623421872192,0.012709778197974921,0.008619870704324748,0.0,0.022452473649284856,0.025641227674959938,25,15
hint_vs_skip_ratio,0.022443236897681913,0.05642264361835786,0.04080375851204054,0.0,0.009884482585967367,0.0,17,7
engagement_persistence,0.019809313309060883,0.061795885246978245,0.04266514935325559,0.018176963649815914,0.009598058099934914,0.0,1,1
Psych_Impulsive_Quit,0.019040700156429308,0.04564111961781613,0.03267329284876055,0.0,0.06241659749139839,0.03096607393318422,16,6
hesitation_penalty,0.017071155244730976,0.02034124344721806,0.015905725555030437,0.004331858467297334,0.010810120556147648,0.09717355800823078,26,16
Psych_Learned_Helplessness,0.01622815966025941,0.07866393876376836,0.055656670377074044,0.0,0.012775842508496072,0.03462281628725144,7,1
redo_conversion_rate,0.013422504116422826,0.031408659625674816,0.021586526989747102,0.011418862754175585,0.014747185626572774,0.0,9,1
inter_hint_x_skip,0.011615434335618444,0.036189996624367886,0.029020999254403868,0.0,0.01686028640378213,0.0,1,1
Psych_Adaptability_Log,0.011480219171887447,0.0035612333146973403,0.00277676262623493,0.0,0.02547192891393503,0.008558899681267669,45,35
Psych_Adaptability,0.009527597072244872,0.0039109571119942035,0.0029965866486315086,0.0,0.019143801575864865,0.0,1,1
keypad_dominance,0.009083140966970773,0.009998227603455543,0.007592714607480156,0.0,0.02139389945996586,0.0545907826824891,21,11
tuas_dominance,0.00893618505341787,0.025090579100950774,0.0171858567820698,0.0,0.011799983069882333,0.0,12,2
PCA_Dur_x_PCA_Hints,0.008520264691401378,0.05725780075623609,0.0402407229309038,0.041402479559612626,0.017765535362620034,0.10906638373612765,1,1
hyper_curiosity_index,0.007919211332065131,0.13498477448806626,0.09455760129812313,0.00031530370904020444,0.04812884535646595,0.0054954865828094526,28,18
star_efficiency,0.007143775965612796,0.0006447827400040071,0.0006069738608636247,0.0,0.03074524722216997,0.3292867323709251,1,1
ratio_struggle_time,0.0060343374149627056,0.010239854092018514,0.0072012143035753914,0.004544421231488016,0.018393523189312793,0.005631967859734827,20,10
