,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
11,RFE_Ridge_Top30,30,RandomForest,0.6939,0.6562,0.5246,0.1358,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, carefulness_index, tuas_dominance, star_efficiency, exploration_efficiency, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",6.0
12,RFE_Ridge_Top30,30,SVR_RBF,0.7011,0.6562,0.5245,0.136,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, carefulness_index, tuas_dominance, star_efficiency, exploration_efficiency, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",2.2
13,Pearson_gt0.15,21,CatBoost,0.6929,0.6563,0.523,0.1356,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, hard_challenge_efficiency, impulsive_help_ratio, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",8.8
14,RF_Importance_med,40,RandomForest,0.6953,0.6563,0.5228,0.1357,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",5.6
15,RF_Importance_p80,16,RandomForest,0.6937,0.657,0.5178,0.1339,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Ego_Death",5.0
16,Pearson_gt0.20,12,KNN_Regressor,0.7089,0.6577,0.5291,0.132,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, impulsive_help_ratio, ratio_redo_success, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",0.5
17,RF_Importance_p80,16,CatBoost,0.6939,0.6578,0.5209,0.1316,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Ego_Death",6.4
18,Lasso_NonZero,37,RandomForest,0.6927,0.6578,0.5272,0.1316,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, engagement_persistence, impulsive_help_ratio, hint_reliance_ratio, carefulness_index, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Duration, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Independent_Efficiency, ratio_hint_per_star, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",5.4
19,Kendall_gt0.10,27,CatBoost,0.6927,0.6582,0.526,0.1307,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",7.7
20,Spearman_gt0.15,27,CatBoost,0.6927,0.6582,0.526,0.1307,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",8.8
