,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
46,Lasso_NonZero,31,SVR_RBF,0.6315,0.6511,0.5148,0.0988,0.3538,1.1031707338310398e-05,***,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","score_velocity, hint_reading_duration, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Adaptability_Log, ratio_hint_per_star, ratio_struggle_time, inter_ambition_vs_reality, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",2.0
47,RF_Importance_med,40,CatBoost,0.6288,0.6463,0.5196,0.1121,0.3519,1.2370163804560561e-05,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",12.5
48,MutualInfo_p80,16,PLSRegression,0.628,0.6441,0.5185,0.118,0.3511,1.2972224814674359e-05,***,{'model__n_components': 2},"sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.2
49,RFE_Ridge_Top20,20,Ridge,0.6292,0.6457,0.5123,0.1136,0.3508,1.3231663474430531e-05,***,{'model__alpha': 100.0},"struggle_ratio, score_velocity, hard_challenge_efficiency, apathy_speed, hint_vs_skip_ratio, carefulness_index, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Adaptability, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Strategic_Growth",0.4
50,MutualInfo_p80,16,Ridge,0.6279,0.6458,0.5196,0.1134,0.3508,1.3241363331060454e-05,***,{'model__alpha': 100.0},"sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
51,Spearman_gt0.15,15,Ridge,0.6286,0.6456,0.5179,0.114,0.3498,1.4026707880303671e-05,***,{'model__alpha': 100.0},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
52,Pearson_gt0.20,5,CatBoost,0.6241,0.6451,0.5193,0.1153,0.3497,1.4124995962108615e-05,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",3.1
53,Pearson_gt0.15,11,MLP_Regressor,0.6456,0.6434,0.5222,0.12,0.3494,1.4419927549481702e-05,***,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",7.8
54,Spearman_gt0.20,8,CatBoost,0.6313,0.6461,0.5221,0.1126,0.3476,1.6043225827209975e-05,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",3.8
55,RF_Importance_p80,16,CatBoost,0.6257,0.6463,0.5169,0.1122,0.3474,1.6274684486599183e-05,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",5.2
56,Kendall_gt0.15,7,RandomForest,0.6373,0.645,0.5201,0.1157,0.3455,1.8193580540084226e-05,***,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",3.5
57,MutualInfo_p80,16,HuberRegressor,0.6295,0.6455,0.5221,0.1143,0.3445,1.9359871387134147e-05,***,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.7
58,MutualInfo_p70,24,RandomForest,0.6289,0.6457,0.5228,0.1137,0.3425,2.171088271342581e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, learning_adaptability, hyper_curiosity_index, adaptive_learning_capacity, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",4.2
59,Spearman_gt0.15,15,PLSRegression,0.6285,0.6457,0.5196,0.1138,0.3423,2.202307659329866e-05,***,{'model__n_components': 3},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
60,RFE_Ridge_Top20,20,Lasso,0.6324,0.6475,0.5136,0.1087,0.3413,2.338945071404748e-05,***,{'model__alpha': 0.01},"struggle_ratio, score_velocity, hard_challenge_efficiency, apathy_speed, hint_vs_skip_ratio, carefulness_index, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Adaptability, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Strategic_Growth",0.6
61,Kendall_gt0.15,7,KNN_Regressor,0.6477,0.6465,0.5205,0.1115,0.3408,2.401714309165055e-05,***,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
62,Kendall_gt0.10,19,Lasso,0.6295,0.6475,0.5169,0.1087,0.3402,2.492176970145807e-05,***,{'model__alpha': 0.01},"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
63,Kendall_gt0.10,19,PLSRegression,0.6293,0.6466,0.5164,0.1112,0.3391,2.6543818414336626e-05,***,{'model__n_components': 3},"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
64,Kendall_gt0.10,19,Ridge,0.6289,0.648,0.5158,0.1073,0.3384,2.764863849344443e-05,***,{'model__alpha': 100.0},"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
65,RF_Importance_p80,16,RandomForest,0.6286,0.6474,0.5197,0.109,0.337,2.9960345453131434e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",5.1
66,Kendall_gt0.10,19,ElasticNet,0.6295,0.6483,0.5176,0.1065,0.334,3.567434773848601e-05,***,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.5
67,RF_Importance_p80,16,SVR_RBF,0.6335,0.6506,0.5202,0.1003,0.332,3.9861190246635215e-05,***,"{'model__gamma': 'scale', 'model__epsilon': 0.01, 'model__C': 1.0}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",1.2
68,MutualInfo_p80,16,RandomForest,0.6321,0.6483,0.524,0.1065,0.3308,4.2801505642037056e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",4.8
69,Lasso_NonZero,31,RandomForest,0.6245,0.6491,0.5272,0.1044,0.3296,4.568084819939758e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","score_velocity, hint_reading_duration, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Adaptability_Log, ratio_hint_per_star, ratio_struggle_time, inter_ambition_vs_reality, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",5.7
70,Pearson_gt0.15,11,RandomForest,0.6299,0.6489,0.5252,0.105,0.329,4.738563148197358e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",3.9
71,RF_Importance_med,40,RandomForest,0.626,0.6489,0.5275,0.1049,0.3281,4.9691776751895676e-05,***,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",5.0
72,Kendall_gt0.10,19,HuberRegressor,0.6316,0.6498,0.5217,0.1025,0.3248,5.9830585859125984e-05,***,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",2.1
73,RF_Importance_p80,16,KNN_Regressor,0.6279,0.6501,0.5171,0.1016,0.324,6.236138173789815e-05,***,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.6
74,RFE_Ridge_Top20,20,SVR_RBF,0.6261,0.6505,0.5165,0.1005,0.3231,6.56082696499028e-05,***,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","struggle_ratio, score_velocity, hard_challenge_efficiency, apathy_speed, hint_vs_skip_ratio, carefulness_index, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Adaptability, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Strategic_Growth",1.6
75,RF_Importance_p80,16,HuberRegressor,0.6414,0.6505,0.5161,0.1004,0.323,6.611873032117152e-05,***,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.6
76,RF_Importance_med,40,ElasticNet,0.6324,0.653,0.5237,0.0936,0.323,6.59958812638418e-05,***,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.6
77,Spearman_gt0.20,8,MLP_Regressor,0.6371,0.6505,0.5383,0.1006,0.3217,7.084655707446482e-05,***,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",8.9
78,RFE_Ridge_Top20,20,ElasticNet,0.6343,0.6511,0.5166,0.0987,0.3211,7.318828728218092e-05,***,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","struggle_ratio, score_velocity, hard_challenge_efficiency, apathy_speed, hint_vs_skip_ratio, carefulness_index, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Adaptability, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Strategic_Growth",0.6
79,RF_Importance_med,40,PLSRegression,0.6312,0.6508,0.5265,0.0997,0.3191,8.156537940349191e-05,***,{'model__n_components': 2},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.4
80,Lasso_NonZero,31,CatBoost,0.6253,0.6523,0.5155,0.0955,0.3157,9.834515457361798e-05,***,"{'model__learning_rate': 0.1, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 6}","score_velocity, hint_reading_duration, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Adaptability_Log, ratio_hint_per_star, ratio_struggle_time, inter_ambition_vs_reality, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",9.1
81,Spearman_gt0.20,8,RandomForest,0.6314,0.6526,0.53,0.0947,0.3132,0.00011198239818842852,***,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",4.9
82,RF_Importance_med,40,Ridge,0.6317,0.6531,0.5239,0.0933,0.3131,0.00011252369149757996,***,{'model__alpha': 500.0},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.5
83,Pearson_gt0.20,5,XGBoost,0.6446,0.6552,0.5241,0.0875,0.3117,0.00012136546787636302,***,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",4.5
84,Kendall_gt0.10,19,MLP_Regressor,0.653,0.6617,0.5404,0.0692,0.3109,0.00012700181588646726,***,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",9.8
85,Spearman_gt0.15,15,HuberRegressor,0.6326,0.6532,0.528,0.093,0.3082,0.0001463356685230667,***,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.7
86,Kendall_gt0.10,19,RandomForest,0.6299,0.6535,0.5295,0.0923,0.3082,0.00014585201689303807,***,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",4.5
