Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank,RFE_Rank_30
inter_exploratory_brilliance,0.19802855185909835,0.19425400873406606,0.13399765456437818,0.04455319785530687,0.011486080122602261,0.0,8,1
Feat_Strategic_Growth,0.1971409066061069,0.19362890366131907,0.13313408456003784,0.06256327908206227,0.0017898376681534742,0.0,2,1
Mutant_Omega_Curiosity,0.1968073245872027,0.17623110074303405,0.11943374321916526,0.0,0.003046017656443205,3.1227873463491763e-07,53,43
score_velocity,0.19413358442904916,0.18115175798469335,0.12154913675591482,0.0,0.004849651879375795,1.0503417598673901e-07,50,40
Feat_Resilient_Explorer,0.19108609149333364,0.17845970102630557,0.12062313779237825,0.0,0.007850024305882624,0.004614283367749485,1,1
sum_weighted_score,0.18580688019029293,0.20061489580614256,0.13831880398881385,0.003010738508410604,0.002191656793649426,0.01062302012673825,30,20
inter_obsessive_correction,0.1834224974447262,0.16991300690097658,0.11432204762971696,0.017294589702346652,0.02821557819706623,0.04042867992233062,25,15
Psych_Calculated_Risk,0.17822942885705692,0.18947876333217312,0.1296584434227979,0.03884348803999638,0.004713062832323132,0.0,46,36
Comp_Joyous_Exploration,0.1598904107425395,0.16696608015735814,0.11405743934507415,0.035256371173642886,0.006654919642139031,2.2420475941783547e-09,60,50
Psych_Calculated_Risk_Growth,0.15546806401141955,0.1552003589787466,0.10806021904924416,0.09283579984425527,0.016722460996454445,0.0,11,1
Comp_Awareness_Limit,0.14300138035893403,0.11769632166672245,0.07974144701800413,0.031714899577808264,0.004157625864810793,0.0,1,1
Feat_Ego_vs_Capacity,0.13726881125847795,0.19474104306000856,0.13112898983288243,0.05374691472799986,0.016640858324947307,0.004104458960710181,15,5
exploration_efficiency,0.1295378362668707,0.1201431276541054,0.0819782414651703,0.01618586706152092,0.008756041421078742,2.8835601186009305e-08,55,45
humility_challenging,0.12691718341225797,0.0926951979955619,0.06950581958273229,0.21745400078624977,0.004121815914501495,0.0,37,27
struggle_ratio,0.12468770257452903,0.12250260259428694,0.0921796787890781,0.10367469475969004,0.022896589763687584,0.0,1,1
ratio_score_per_hint,0.11545054875232463,0.14494591642497986,0.09735061018704051,0.0022545011473025234,0.0023871482984128166,1.755219344296641e-08,58,48
inter_cowardice_penalty,0.10788264248470723,0.13460824792874054,0.09045713325255632,0.0,0.007669525708909399,0.0,18,8
boldness_score,0.10159130286349913,0.11859870111298725,0.08237680623840106,0.05249547820994449,0.010466554336376879,0.0,16,6
stubbornness_index,0.0977724721964312,0.09977401810493092,0.07763949370093327,0.12452388154125082,0.009683799753236761,0.01985492052909342,19,9
stagnation_ratio,0.09641840506157551,0.12430735798674589,0.08811038132564025,0.0,0.02161712999213277,0.0,1,1
time_diff_phase3_vs_phase1,0.095142589523233,0.09959967433563846,0.06636874862143942,0.0,0.02732796536286282,8.198248612680122e-08,54,44
hint_reliance_ratio,0.0931301466734846,0.09883132068567507,0.06741459567421905,0.0,0.007627167723711883,0.006445255796627135,27,17
inter_strategic_retreat,0.0920705331880539,0.08052974043139234,0.05928100200980687,0.0,0.011113801993234609,0.005731861411565659,42,32
