,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
89,MutualInfo_p70,24,Lasso,1.0227,1.0852,0.8661,0.0355,{'model__alpha': 0.01},"sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, exploration_efficiency, frustration_breakdown_ratio, stubborn_failure_magnitude, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",1.5
90,MutualInfo_p90,8,RandomForest,1.0313,1.0853,0.8663,0.0353,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, boldness_score, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration",6.2
91,RFE_Ridge_Top30,30,CatBoost,1.0224,1.0855,0.8639,0.035,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, hint_reading_duration, engagement_persistence, impulsive_help_ratio, carefulness_index, star_efficiency, exploration_efficiency, time_diff_max_vs_avg, ratio_hint_time, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",14.5
92,Pearson_gt0.30,6,Ridge,1.0178,1.0858,0.8656,0.0343,{'model__alpha': 100.0},"sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",0.3
93,Spearman_gt0.30,6,PLSRegression,1.0192,1.0858,0.8637,0.0343,{'model__n_components': 3},"sum_weighted_score, Psych_Calculated_Risk, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
94,Pearson_gt0.30,6,XGBoost,1.0607,1.0858,0.879,0.0344,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",4.6
95,MutualInfo_p90,8,CatBoost,1.0227,1.0861,0.8602,0.0338,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, boldness_score, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration",5.4
96,Kendall_gt0.10,31,RandomForest,1.0299,1.0863,0.8707,0.0334,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, boldness_score, stagnation_ratio, stubbornness_index, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, hint_dependency_gravity, calculated_risk_taking, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",6.9
97,Spearman_gt0.30,6,Ridge,1.0172,1.0863,0.8655,0.0335,{'model__alpha': 100.0},"sum_weighted_score, Psych_Calculated_Risk, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
98,RFE_Ridge_Top20,20,Lasso,1.0165,1.0863,0.8704,0.0334,{'model__alpha': 0.01},"sum_weighted_score, struggle_ratio, apathy_speed, hint_reading_duration, impulsive_help_ratio, star_efficiency, exploration_efficiency, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.5
99,Pearson_gt0.20,10,SVR_Linear,1.0208,1.0864,0.8672,0.0333,"{'model__epsilon': 0.5, 'model__C': 10.0}","sum_weighted_score, struggle_ratio, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",1.1
100,Kendall_gt0.20,7,Ridge,1.0181,1.0867,0.8661,0.0328,{'model__alpha': 100.0},"sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
101,Pearson_gt0.20,10,PLSRegression,1.0182,1.0867,0.8735,0.0329,{'model__n_components': 3},"sum_weighted_score, struggle_ratio, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.3
102,Spearman_gt0.15,25,KNN_Regressor,1.0483,1.0869,0.8746,0.0325,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, boldness_score, stagnation_ratio, stubbornness_index, hint_reliance_ratio, carefulness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.9
103,RF_Importance_p80,16,Lasso,1.0203,1.087,0.8603,0.0323,{'model__alpha': 0.01},"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
